{'batch_size': 128, 'prefix_filter': None, 'max_length': 15, 'epoch_num': 5000, 'try_one_batch': False, 'learning_rate': 0.001, 'device': 'cuda', 'filename': '../data/rus.txt', 'train_size': 0.8, 'vocab_size': 43405}
{'val_loss': 2.155874729156494, 'train_loss': 3.0881073474884033, 'bleu_score': 0.11119207001790776}
{'val_loss': 1.7074253559112549, 'train_loss': 2.057631731033325, 'bleu_score': 0.2269773454763692}
{'val_loss': 1.4857478141784668, 'train_loss': 1.7386597394943237, 'bleu_score': 0.24901585101256313}
{'val_loss': 1.3474866151809692, 'train_loss': 1.5560208559036255, 'bleu_score': 0.25958035543618696}
{'val_loss': 1.2569398880004883, 'train_loss': 1.435152530670166, 'bleu_score': 0.30499046964028526}
{'val_loss': 1.1909945011138916, 'train_loss': 1.3479636907577515, 'bleu_score': 0.3478328102219336}
{'val_loss': 1.1333574056625366, 'train_loss': 1.2808929681777954, 'bleu_score': 0.35976223818581826}
{'val_loss': 1.0935571193695068, 'train_loss': 1.227246642112732, 'bleu_score': 0.3542434076136612}
{'val_loss': 1.0592061281204224, 'train_loss': 1.1822482347488403, 'bleu_score': 0.3446535656118001}
{'val_loss': 1.0266276597976685, 'train_loss': 1.143579363822937, 'bleu_score': 0.4087131283134003}
{'val_loss': 1.0024572610855103, 'train_loss': 1.1100201606750488, 'bleu_score': 0.35859620980847795}
{'val_loss': 0.9806903004646301, 'train_loss': 1.0802289247512817, 'bleu_score': 0.36088863949055927}
{'val_loss': 0.9597902894020081, 'train_loss': 1.0543283224105835, 'bleu_score': 0.3514760262196522}
{'val_loss': 0.9434043169021606, 'train_loss': 1.030816912651062, 'bleu_score': 0.40342200373681}
{'val_loss': 0.9293457865715027, 'train_loss': 1.0103789567947388, 'bleu_score': 0.41974455348696893}
{'val_loss': 0.9160501956939697, 'train_loss': 0.9905921816825867, 'bleu_score': 0.3876697512102045}
{'val_loss': 0.9046512246131897, 'train_loss': 0.9734718203544617, 'bleu_score': 0.39920124015447783}
{'val_loss': 0.8896030783653259, 'train_loss': 0.9565327763557434, 'bleu_score': 0.47527411045659923}
