{'batch_size': 128, 'prefix_filter': None, 'max_length': 15, 'epoch_num': 5000, 'try_one_batch': False, 'learning_rate': 0.001, 'device': 'cuda', 'filename': '../data/rus.txt', 'train_size': 0.8, 'embedding_size': 256, 'hidden_size': 256, 'src_vocab_size': 4000, 'tgt_vocab_size': 4000}
{'val_loss': 2.853712797164917, 'train_loss': 1.9275145530700684, 'bleu_score': 0.04924350594225875}
{'val_loss': 2.3853869438171387, 'train_loss': 1.1828831434249878, 'bleu_score': 0.08181827195642342}
{'val_loss': 2.1682162284851074, 'train_loss': 0.9660009741783142, 'bleu_score': 0.10410154667588221}
{'val_loss': 2.030299663543701, 'train_loss': 0.8502715229988098, 'bleu_score': 0.14135855991685028}
{'val_loss': 1.968965768814087, 'train_loss': 0.7734341025352478, 'bleu_score': 0.13244524460737092}
{'val_loss': 1.9102468490600586, 'train_loss': 0.7173305153846741, 'bleu_score': 0.1491894625144465}
{'val_loss': 1.8623418807983398, 'train_loss': 0.6742152571678162, 'bleu_score': 0.13180755813947323}
{'val_loss': 1.8361074924468994, 'train_loss': 0.6400157809257507, 'bleu_score': 0.162626890495225}
{'val_loss': 1.811554193496704, 'train_loss': 0.6131969690322876, 'bleu_score': 0.1738305313657539}
{'val_loss': 1.7911185026168823, 'train_loss': 0.5911370515823364, 'bleu_score': 0.1523765775144842}
{'val_loss': 1.774712085723877, 'train_loss': 0.5730901956558228, 'bleu_score': 0.15369198675594312}
{'val_loss': 1.7674683332443237, 'train_loss': 0.5589410066604614, 'bleu_score': 0.18237686075773937}
{'val_loss': 1.7595906257629395, 'train_loss': 0.5465028882026672, 'bleu_score': 0.19414702014478757}
{'val_loss': 1.757813572883606, 'train_loss': 0.5362458825111389, 'bleu_score': 0.1844667043943658}
{'val_loss': 1.7510958909988403, 'train_loss': 0.5281600952148438, 'bleu_score': 0.18208714384222166}
{'val_loss': 1.745429277420044, 'train_loss': 0.521751880645752, 'bleu_score': 0.19631202364454514}
{'val_loss': 1.7461512088775635, 'train_loss': 0.5156897306442261, 'bleu_score': 0.15358782622068823}
{'val_loss': 1.7419679164886475, 'train_loss': 0.5113680958747864, 'bleu_score': 0.18975886938050646}
{'val_loss': 1.742110013961792, 'train_loss': 0.5071155428886414, 'bleu_score': 0.15471570974107593}
{'val_loss': 1.738465428352356, 'train_loss': 0.5043505430221558, 'bleu_score': 0.16142141854725922}
{'val_loss': 1.7366963624954224, 'train_loss': 0.5023201704025269, 'bleu_score': 0.17989093363381353}
{'val_loss': 1.7348593473434448, 'train_loss': 0.4995943307876587, 'bleu_score': 0.17138723916229393}
{'val_loss': 1.7361769676208496, 'train_loss': 0.4978184700012207, 'bleu_score': 0.2247895302984531}
{'val_loss': 1.7359280586242676, 'train_loss': 0.49625399708747864, 'bleu_score': 0.17070801299308824}
{'val_loss': 1.7348499298095703, 'train_loss': 0.49497514963150024, 'bleu_score': 0.21821126470286795}
{'val_loss': 1.7360413074493408, 'train_loss': 0.4939597249031067, 'bleu_score': 0.1492588956397698}
{'val_loss': 1.7324769496917725, 'train_loss': 0.493506520986557, 'bleu_score': 0.14049646600548424}
{'val_loss': 1.7326546907424927, 'train_loss': 0.49257373809814453, 'bleu_score': 0.2580258251310429}
{'val_loss': 1.7341878414154053, 'train_loss': 0.49199554324150085, 'bleu_score': 0.1797586123268019}
{'val_loss': 1.7336483001708984, 'train_loss': 0.491074800491333, 'bleu_score': 0.1807089027964195}
{'val_loss': 1.7329484224319458, 'train_loss': 0.491456001996994, 'bleu_score': 0.17565969338371384}
{'val_loss': 1.7328660488128662, 'train_loss': 0.49096423387527466, 'bleu_score': 0.1941797894827581}
{'val_loss': 1.73294997215271, 'train_loss': 0.4907081425189972, 'bleu_score': 0.23078761697234304}
{'val_loss': 1.7328977584838867, 'train_loss': 0.49100834131240845, 'bleu_score': 0.20739703459602465}
{'val_loss': 1.7332576513290405, 'train_loss': 0.4903712272644043, 'bleu_score': 0.17576431758660924}
{'val_loss': 1.733393907546997, 'train_loss': 0.4897420406341553, 'bleu_score': 0.2225521934110113}
{'val_loss': 1.7327710390090942, 'train_loss': 0.4903828501701355, 'bleu_score': 0.16862823533147753}
{'val_loss': 1.732877492904663, 'train_loss': 0.4898252785205841, 'bleu_score': 0.17945348428135727}
{'val_loss': 1.7327375411987305, 'train_loss': 0.49020111560821533, 'bleu_score': 0.21332004555168954}
{'val_loss': 1.7329884767532349, 'train_loss': 0.48929861187934875, 'bleu_score': 0.1904295124349921}
{'val_loss': 1.732795238494873, 'train_loss': 0.4894648492336273, 'bleu_score': 0.22533582059296142}
{'val_loss': 1.7327499389648438, 'train_loss': 0.4898122549057007, 'bleu_score': 0.21973832354084172}
{'val_loss': 1.732758641242981, 'train_loss': 0.4896426498889923, 'bleu_score': 0.23718578226876894}
{'val_loss': 1.7329144477844238, 'train_loss': 0.4901362359523773, 'bleu_score': 0.14281285395084026}
{'val_loss': 1.7326611280441284, 'train_loss': 0.489457905292511, 'bleu_score': 0.15238985504910185}
